,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON_ID
2,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,25.0,42,16,26,0.381,28.5,116.8,2.3,0.077,0.118,1.1,0.231,0.4,0.132,11.0,8.9,8.0,30.3,0.033,11,9,3,1,4,16,10,15,15,3,6,8,10,13,13,12,13,14,2020-21
3,202334,Ed Davis,Ed,1610612750,MIN,32.0,23,5,18,0.217,13.0,109.0,3.0,0.235,0.327,0.6,0.232,0.6,0.342,4.3,3.3,3.4,11.5,0.044,15,15,2,13,15,4,7,2,2,10,5,5,2,2,2,3,2,12,2020-21
4,1630183,Jaden McDaniels,Jaden,1610612750,MIN,20.0,63,18,45,0.286,24.0,113.1,2.9,0.118,0.175,0.6,0.119,1.0,0.339,8.2,7.5,7.0,23.6,0.053,5,7,12,9,6,9,9,8,8,11,15,3,3,11,12,11,11,6,2020-21
5,1627774,Jake Layman,Jake,1610612750,MIN,27.0,45,12,33,0.267,13.9,107.3,1.2,0.083,0.122,0.6,0.22,0.4,0.235,4.9,3.8,3.3,13.6,0.055,10,11,8,11,14,2,15,13,13,9,7,9,6,3,3,2,3,4,2020-21
6,1629020,Jarred Vanderbilt,Jarred,1610612750,MIN,22.0,64,18,46,0.281,17.8,109.2,3.9,0.211,0.318,1.0,0.29,0.7,0.307,6.6,5.4,5.0,18.8,0.061,4,7,14,10,11,5,2,3,3,4,3,4,5,9,6,7,8,2,2020-21
7,1629633,Jarrett Culver,Jarrett,1610612750,MIN,22.0,34,7,27,0.206,14.7,109.7,2.1,0.132,0.196,0.5,0.177,0.3,0.148,5.3,4.5,4.3,13.8,0.048,14,14,4,15,13,6,11,6,6,13,9,11,8,5,4,4,4,9,2020-21
8,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,21.0,42,10,32,0.238,18.1,111.1,1.8,0.098,0.147,0.5,0.157,0.3,0.132,5.3,5.7,5.1,17.5,0.051,11,12,7,12,10,7,12,11,11,12,10,10,11,4,9,8,6,7,2020-21
9,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,25.0,51,15,36,0.294,18.4,108.8,1.7,0.09,0.132,1.0,0.293,0.1,0.048,6.3,5.9,4.7,17.2,0.064,8,10,10,8,9,3,13,12,12,4,2,14,14,7,10,6,5,1,2020-21
10,1629006,Josh Okogie,Josh,1610612750,MIN,22.0,59,21,38,0.356,20.3,114.3,1.6,0.079,0.118,0.9,0.237,0.5,0.207,7.1,5.7,5.5,21.4,0.038,6,4,11,4,7,11,14,14,14,6,4,7,7,10,8,9,10,13,2020-21
11,1627823,Juancho Hernangomez,Juancho,1610612750,MIN,25.0,52,19,33,0.365,17.3,115.4,3.1,0.177,0.258,0.4,0.137,0.1,0.069,5.6,5.0,4.6,18.2,0.027,7,5,8,3,12,14,6,4,4,15,13,13,12,6,5,5,7,16,2020-21
12,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,25.0,50,19,31,0.38,33.8,114.7,7.9,0.237,0.343,0.8,0.132,1.1,0.335,11.9,10.3,10.3,34.8,0.058,9,5,6,2,1,12,1,1,1,8,14,1,4,16,16,15,15,3,2020-21
13,1627736,Malik Beasley,Malik,1610612750,MIN,24.0,37,8,29,0.216,32.8,115.0,3.6,0.112,0.167,0.8,0.144,0.2,0.052,11.3,9.6,9.9,35.9,0.054,13,13,5,14,2,13,4,9,9,7,12,12,13,14,14,14,16,5,2020-21
14,1629675,Naz Reid,Naz,1610612750,MIN,21.0,70,22,48,0.314,19.2,112.4,3.4,0.173,0.256,0.5,0.145,1.1,0.458,6.5,5.6,5.5,19.3,0.047,2,3,15,7,8,8,5,5,5,14,11,2,1,8,7,10,9,11,2020-21
15,201937,Ricky Rubio,Ricky,1610612750,MIN,30.0,68,23,45,0.338,26.1,114.3,2.9,0.11,0.161,1.4,0.301,0.1,0.023,9.3,7.5,8.1,28.0,0.049,3,1,12,5,5,10,8,10,10,1,1,15,15,12,11,13,12,8,2020-21
0,203459,Allen Crabbe,Allen,1610612750,MIN,28.0,9,1,8,0.111,14.6,111.8,1.2,0.091,0.129,0.0,0.0,0.0,0.0,6.1,4.0,5.8,18.2,0.032,22,22,3,24,19,17,21,19,19,22,22,22,22,8,6,13,8,19,2019-20
