,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
9,1610612750,2016,00,Andrew Wiggins,Andrew,andrew-wiggins,22,F,6-8,199,"FEB 23, 1995",22.0,2,Kansas,203952,
10,1610612750,2016,00,Jordan Hill,Jordan,jordan-hill,27,F-C,6-10,240,"JUL 27, 1987",29.0,7,Arizona,201941,
11,1610612750,2016,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,7-0,244,"NOV 15, 1995",21.0,1,Kentucky,1626157,#1 Pick in 2015 Draft
12,1610612750,2016,00,Adreian Payne,Adreian,adreian-payne,33,F,6-10,237,"FEB 19, 1991",26.0,2,Michigan State,203940,
13,1610612750,2016,00,Cole Aldrich,Cole,cole-aldrich,45,C,6-11,250,"OCT 31, 1988",28.0,6,Kansas,202332,
14,1610612750,2016,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,88,F,6-10,225,"MAY 09, 1988",29.0,1,                                   ,202357,
0,1610612750,2015,00,Tyus Jones,Tyus,tyus-jones,1,G,6-2,195,"MAY 10, 1996",20.0,R,Duke,1626145,
1,1610612750,2015,00,Greg Smith,Greg,greg-smith,4,C,6-10,250,"JAN 08, 1991",25.0,4,Fresno State,202962,
2,1610612750,2015,00,Gorgui Dieng,Gorgui,gorgui-dieng,5,C-F,6-11,241,"JAN 18, 1990",26.0,2,Louisville,203476,
3,1610612750,2015,00,Zach LaVine,Zach,zach-lavine,8,G,6-5,189,"MAR 10, 1995",21.0,1,UCLA,203897,
4,1610612750,2015,00,Ricky Rubio,Ricky,ricky-rubio,9,G,6-4,194,"OCT 21, 1990",25.0,4,FC Barcelona,201937,
5,1610612750,2015,00,Damjan Rudez,Damjan,damjan-rudez,10,F,6-9,230,"JUN 17, 1986",30.0,1,Zaragoza,204014,
6,1610612750,2015,00,Tayshaun Prince,Tayshaun,tayshaun-prince,12,F,6-9,212,"FEB 28, 1980",36.0,13,Kentucky,2419,
7,1610612750,2015,00,Nikola Pekovic,Nikola,nikola-pekovic,14,C,6-11,307,"JAN 03, 1986",30.0,5,Panathinaikos,201593,
8,1610612750,2015,00,Shabazz Muhammad,Shabazz,shabazz-muhammad,15,F,6-6,223,"NOV 13, 1992",23.0,2,UCLA,203498,
9,1610612750,2015,00,Kevin Garnett,Kevin,kevin-garnett,21,F,6-11,240,"MAY 19, 1976",40.0,20,Farragut Academy HS (IL),708,
10,1610612750,2015,00,Andrew Wiggins,Andrew,andrew-wiggins,22,G-F,6-8,199,"FEB 23, 1995",21.0,1,Kansas,203952,
