,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_ID
1,1629735,Chris Silva,Chris,1610612748,MIA,25.0,1,1,0,1.0,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,15.0,0,0,12.5,18,17,18,1,18,18,18,18,17,17,17,17,17,17,17,1,5,18,18,17,16,17,18,17,18,18,18,9,2,18,2021-22
2,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,26.0,65,39,26,0.6,46.9,9.0,22.0,0.411,4.0,11.7,0.34,4.5,5.4,0.825,0.6,4.3,4.9,10.4,3.7,1.4,0.5,0.6,2.9,4.9,26.5,4.7,49.9,12,0,49.6,8,7,8,2,6,4,3,12,3,2,9,3,4,2,16,15,16,1,3,9,13,14,13,5,3,2,6,2,2,4,2021-22
3,202328,Greg Monroe,Greg,1610612750,MIN,32.0,4,1,3,0.25,46.6,7.4,12.6,0.591,0.0,0.0,0.0,1.7,4.0,0.429,3.4,10.3,13.7,9.1,4.0,2.3,3.4,1.1,5.1,3.4,16.6,-1.1,59.9,0,0,50.9,17,17,16,18,7,8,12,2,17,17,17,13,9,16,5,3,4,2,2,4,1,4,5,8,11,14,2,9,2,3,2021-22
4,1630183,Jaden McDaniels,Jaden,1610612750,MIN,21.0,70,40,30,0.571,46.9,6.6,14.4,0.46,2.1,6.6,0.317,1.5,1.8,0.803,2.0,5.7,7.6,2.1,2.0,1.4,1.4,0.8,5.8,2.2,16.8,0.1,35.4,0,0,34.1,6,5,5,11,5,10,9,8,10,9,11,15,15,5,9,10,9,16,13,12,5,11,3,15,10,12,13,9,2,12,2021-22
5,1627774,Jake Layman,Jake,1610612750,MIN,28.0,34,20,14,0.588,45.3,5.9,14.3,0.411,1.6,6.9,0.229,2.6,3.5,0.722,1.2,5.9,7.1,1.8,2.0,1.4,1.0,0.8,2.4,2.4,15.9,-2.2,32.2,0,0,31.0,15,14,15,7,16,11,10,13,11,8,15,9,10,12,11,7,10,17,12,11,9,9,16,14,12,15,14,9,2,14,2021-22
6,1629020,Jarred Vanderbilt,Jarred,1610612750,MIN,23.0,74,41,33,0.554,47.7,5.4,9.2,0.587,0.1,0.4,0.143,2.2,3.3,0.656,5.5,10.4,15.8,2.4,1.9,2.5,1.2,1.0,4.6,3.4,13.0,4.1,44.8,8,0,38.6,3,4,2,13,1,13,16,3,16,16,16,11,11,15,2,2,1,14,15,2,7,5,9,9,13,3,9,3,2,10,2021-22
7,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,22.0,62,37,25,0.597,46.3,9.3,19.6,0.475,3.0,7.6,0.394,3.4,4.4,0.783,1.0,4.8,5.8,6.2,1.7,1.3,0.5,0.8,3.5,3.3,25.0,3.3,44.8,0,0,43.5,9,9,11,4,10,3,5,7,5,6,3,6,7,7,13,13,14,6,16,13,14,10,11,10,4,8,8,9,2,8,2021-22
8,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,26.0,62,36,26,0.581,45.6,4.5,10.1,0.44,1.4,4.3,0.318,1.5,2.0,0.75,1.1,3.6,4.8,9.1,1.9,2.9,0.5,0.7,2.7,2.6,11.8,1.9,39.4,1,0,33.8,9,10,8,9,13,15,14,11,12,12,10,14,14,10,12,16,17,3,14,1,12,13,14,13,15,10,10,7,2,13,2021-22
9,1629006,Josh Okogie,Josh,1610612750,MIN,23.0,49,23,26,0.469,45.5,3.7,9.2,0.404,1.2,4.1,0.298,3.1,4.5,0.686,2.6,3.6,6.2,2.2,2.0,2.3,1.1,0.9,4.7,4.9,11.7,3.4,30.5,0,0,28.1,12,12,8,17,14,16,15,15,13,13,13,8,6,14,7,17,13,15,11,3,8,7,8,4,16,7,15,9,2,15,2021-22
10,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,26.0,74,44,30,0.595,47.3,12.3,23.2,0.529,2.9,7.0,0.41,7.3,8.9,0.822,3.7,10.2,13.9,5.1,4.3,1.4,1.6,1.8,5.1,8.1,34.7,5.3,63.7,40,1,62.6,3,2,5,5,4,1,2,4,6,7,2,2,2,3,4,4,3,8,1,10,4,2,6,1,1,1,1,1,1,1,2021-22
