,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
14,1626157,Karl-Anthony Towns,1610612750,MIN,23.0,7-0,84,248,Kentucky,USA,2015,1,1,77,24.4,12.4,3.4,0.9,0.097,0.257,0.28,0.622,0.169,2018-19
15,1628966,Keita Bates-Diop,1610612750,MIN,23.0,6-9,81,229,Ohio State,USA,2018,2,48,30,5.0,2.8,0.6,-5.1,0.029,0.129,0.14,0.489,0.047,2018-19
16,2736,Luol Deng,1610612750,MIN,34.0,6-9,81,237,Duke,United Kingdom,2004,1,7,22,7.1,3.3,0.8,10.0,0.049,0.125,0.155,0.588,0.062,2018-19
17,1628249,Mitchell Creek,1610612750,MIN,27.0,6-6,78,225,None,Australia,Undrafted,Undrafted,Undrafted,1,6.0,2.0,1.0,0.2,0.091,0.125,0.28,0.5,0.143,2018-19
18,203496,Robert Covington,1610612750,MIN,28.0,6-9,81,225,Tennessee State,USA,Undrafted,Undrafted,Undrafted,22,14.5,5.7,1.5,2.8,0.026,0.135,0.164,0.58,0.061,2018-19
19,201959,Taj Gibson,1610612750,MIN,34.0,6-9,81,232,Southern California,USA,2009,1,26,70,10.8,6.5,1.2,-2.1,0.095,0.161,0.167,0.612,0.072,2018-19
20,1626145,Tyus Jones,1610612750,MIN,23.0,6-2,74,196,Duke,USA,2015,1,24,68,6.9,2.0,4.8,-0.3,0.014,0.069,0.139,0.491,0.284,2018-19
0,201166,Aaron Brooks,1610612750,MIN,33.0,6-0,72,161,Oregon,USA,2007,1,26,32,2.3,0.5,0.6,-17.2,0.036,0.057,0.192,0.508,0.161,2017-18
1,203952,Andrew Wiggins,1610612750,MIN,23.0,6-8,80,202,Kansas,Canada,2014,1,1,82,17.7,4.4,2.0,3.5,0.028,0.094,0.228,0.505,0.08,2017-18
2,1626148,Anthony Brown,1610612750,MIN,25.0,6-7,79,224,Stanford,USA,2015,2,34,1,3.0,0.0,1.0,30.0,0.0,0.0,0.1,1.5,0.333,2017-18
3,202332,Cole Aldrich,1610612750,MIN,29.0,6-11,83,253,Kansas,USA,2010,1,11,21,0.6,0.7,0.1,-1.8,0.057,0.286,0.151,0.34,0.081,2017-18
4,201565,Derrick Rose,1610612750,MIN,29.0,6-3,75,190,Memphis,USA,2008,1,1,9,5.8,0.7,1.2,-3.9,0.028,0.027,0.24,0.463,0.151,2017-18
5,203476,Gorgui Dieng,1610612750,MIN,28.0,6-11,83,251,Louisville,Senegal,2013,1,21,79,5.9,4.6,0.9,-6.6,0.078,0.201,0.159,0.543,0.08,2017-18
6,2037,Jamal Crawford,1610612750,MIN,38.0,6-5,77,185,Michigan,USA,2000,1,8,80,10.3,1.2,2.3,-4.5,0.013,0.05,0.231,0.519,0.177,2017-18
7,201952,Jeff Teague,1610612750,MIN,30.0,6-2,74,189,Wake Forest,USA,2009,1,19,70,14.2,3.0,7.0,2.7,0.011,0.081,0.201,0.553,0.298,2017-18
