,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,SEASON_ID
11,1630195,Leandro Bolmaro,Leandro,1610612750,MIN,21.0,35,19,16,0.543,6.9,105.7,102.6,102.6,104.6,102.5,102.5,1.1,0.2,0.2,0.118,1.62,22.3,0.062,0.107,0.084,13.8,13.9,0.361,0.419,0.122,0.127,102.98,105.58,87.99,105.58,0.038,531,17,54,0.5,1.5,0.315,14,15,6,15,15,16,16,16,3,3,3,12,13,13,10,8,6,6,12,7,16,16,17,17,13,13,13,2,2,18,15,15,16,16,17,2021-22
12,1627736,Malik Beasley,Malik,1610612750,MIN,25.0,79,46,33,0.582,25.0,110.5,112.1,112.1,109.4,110.1,110.1,1.1,2.0,2.0,0.085,2.7,11.3,0.012,0.1,0.054,4.2,4.2,0.532,0.544,0.189,0.193,104.34,103.24,86.03,103.24,0.081,4250,332,850,4.2,10.8,0.391,1,1,15,8,7,11,7,7,10,10,10,11,10,10,12,6,14,15,14,15,2,2,10,12,7,7,4,11,11,11,4,4,4,4,16,2021-22
13,1630593,McKinley Wright IV,McKinley,1610612750,MIN,23.0,5,3,2,0.6,3.8,111.1,102.4,102.4,132.6,128.2,128.2,-21.5,-25.8,-25.8,0.231,3.0,42.9,0.0,0.0,0.0,14.3,14.3,0.833,0.833,0.082,0.089,97.24,103.04,85.87,103.04,0.06,42,2,3,0.4,0.6,0.667,16,16,2,2,17,9,17,17,17,17,17,17,17,17,5,4,1,17,18,18,17,17,1,1,17,17,18,12,12,15,17,17,17,17,1,2021-22
14,1630233,Nathan Knight,Nathan,1610612750,MIN,24.0,37,22,15,0.595,7.2,108.1,105.5,105.5,102.2,101.9,101.9,5.9,3.6,3.6,0.126,1.22,14.1,0.114,0.174,0.145,11.5,11.7,0.534,0.603,0.203,0.209,102.67,104.06,86.71,104.06,0.121,580,45,88,1.2,2.4,0.511,13,13,5,5,14,12,13,13,2,2,2,1,6,6,9,12,12,1,5,2,11,11,8,4,6,6,14,7,7,3,12,13,13,13,5,2021-22
15,1629675,Naz Reid,Naz,1610612750,MIN,22.0,77,42,35,0.545,15.8,105.1,105.5,105.5,108.3,107.9,107.9,-3.2,-2.4,-2.4,0.091,0.87,10.3,0.074,0.161,0.115,11.8,11.8,0.549,0.588,0.209,0.215,103.86,103.86,86.55,103.86,0.103,2616,233,476,3.0,6.2,0.489,2,3,18,14,10,17,12,12,4,4,4,16,15,15,11,17,16,3,6,6,12,13,7,6,4,4,6,8,8,7,6,6,9,8,6,2021-22
16,201976,Patrick Beverley,Patrick,1610612750,MIN,33.0,58,33,25,0.569,25.4,111.4,113.6,113.6,108.9,109.8,109.8,2.4,3.7,3.7,0.249,3.67,32.1,0.038,0.119,0.077,8.7,8.7,0.501,0.539,0.158,0.16,102.46,101.06,84.22,101.06,0.094,3105,177,436,3.1,7.5,0.406,11,11,7,12,5,7,6,6,7,8,8,9,5,5,4,2,4,8,9,8,5,5,14,13,11,11,17,17,17,9,9,7,8,6,14,2021-22
17,1627752,Taurean Prince,Taurean,1610612750,MIN,28.0,69,40,29,0.58,17.1,111.0,111.6,111.6,110.4,110.9,110.9,0.6,0.7,0.7,0.08,1.28,12.5,0.021,0.12,0.07,9.8,9.7,0.564,0.589,0.166,0.171,105.09,104.57,87.15,104.57,0.076,2553,177,390,2.6,5.7,0.454,7,5,12,10,9,10,8,8,14,14,14,13,11,11,13,11,13,14,8,11,7,7,5,5,8,8,3,6,6,12,9,9,11,9,9,2021-22
0,1630162,Anthony Edwards,Anthony,1610612750,MIN,19.0,72,23,49,0.319,32.1,108.9,110.6,110.6,114.1,115.6,115.6,-5.2,-5.0,-5.0,0.142,1.32,12.4,0.023,0.121,0.07,9.4,9.4,0.488,0.523,0.264,0.269,104.17,102.71,85.59,102.71,0.094,4961,505,1211,7.0,16.8,0.417,1,1,16,6,3,4,2,2,14,15,15,6,5,5,5,11,10,9,7,8,7,7,10,11,3,3,7,13,13,8,1,1,3,2,11,2020-21
1,1630204,Ashton Hagans,Ashton,1610612750,MIN,21.0,2,0,2,0.0,2.0,61.5,60.0,60.0,104.2,81.8,81.8,-42.7,-21.8,-21.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.083,0.085,108.59,123.93,103.28,123.93,-0.25,10,0,0,0.0,0.0,0.0,16,16,1,16,16,16,16,16,1,1,1,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,1,1,1,16,16,16,16,16,16,2020-21
2,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,25.0,42,16,26,0.381,28.5,109.1,109.7,109.7,115.5,116.8,116.8,-6.3,-7.0,-7.0,0.323,2.18,22.8,0.012,0.077,0.044,10.4,10.4,0.523,0.555,0.283,0.29,105.04,104.18,86.82,104.18,0.114,2591,281,652,6.7,15.5,0.431,11,9,3,1,4,3,4,4,16,16,16,9,11,11,2,5,4,15,15,15,11,11,8,6,2,2,2,2,2,2,4,3,4,4,9,2020-21
